park_name,park_code,states,designation,latitude,longitude,num_activities,num_topics,num_entrance_fees,description_length,has_camping,has_fishing,has_wildlife,has_biking,has_boating
Abraham Lincoln Birthplace National Historical Park,abli,KY,National Historical Park,37.5858662,-85.67330523,15,9,0,392,False,False,True,False,False
Acadia National Park,acad,ME,National Park,44.409286,-68.247501,46,31,8,396,True,True,True,True,True
Adams National Historical Park,adam,MA,National Historical Park,42.2553961,-71.01160356,8,8,1,298,False,False,False,False,False
African American Civil War Memorial,afam,DC,,38.9166,-77.026,2,4,0,252,False,False,False,False,False
African Burial Ground National Monument,afbg,NY,National Monument,40.71452681,-74.00447358,7,9,0,326,False,False,False,False,False
Agate Fossil Beds National Monument,agfo,NE,National Monument,42.42170419,-103.753886,16,16,0,395,False,False,True,False,False
Ala Kahakai National Historic Trail,alka,HI,National Historic Trail,19.144668109,-155.890734294,43,26,0,387,True,True,True,True,True
Alagnak Wild River,alag,AK,Wild River,59.05180188,-156.112002,12,10,0,361,True,True,True,False,True
Alaska Public Lands,anch,AK,,61.2188,-149.894536,0,0,0,352,False,False,False,False,False
Alcatraz Island,alca,CA,,37.82676234,-122.4230206,6,17,0,380,False,False,True,False,False
Aleutian Islands World War II National Historic Area,aleu,AK,National Historic Area,53.9143,-166.5197,7,30,0,387,False,False,True,False,False
Alibates Flint Quarries National Monument,alfl,TX,National Monument,35.5819662,-101.6717008,7,2,0,199,True,False,False,False,False
Allegheny Portage Railroad National Historic Site,alpo,PA,National Historic Site,40.42977467,-78.57431622,13,24,0,387,False,False,False,False,False
Amache National Historic Site,amch,CO,National Historic Site,38.04962,-102.32903,3,9,0,309,False,False,False,False,False
American Memorial Park,amme,MP,Park,15.21680033,145.7231096,22,21,0,391,False,True,True,True,False
Amistad National Recreation Area,amis,TX,National Recreation Area,29.53539777,-101.075821,29,27,0,387,True,True,True,False,True
Anacostia Park,anac,DC,Park,38.8782,-76.9703,15,12,0,234,False,True,True,True,True
Andersonville National Historic Site,ande,GA,National Historic Site,32.19831758,-84.12988898,19,27,0,397,True,False,False,False,False
Andrew Johnson National Historic Site,anjo,TN,National Historic Site,36.15624509,-82.83709021,5,8,0,399,False,False,False,False,False
Aniakchak National Monument & Preserve,ania,AK,National Monument & Preserve,56.85317675,-157.5544362,11,8,0,393,True,False,True,False,False
Antietam National Battlefield,anti,MD,National Battlefield,39.46763452,-77.73828017,17,21,7,285,True,False,True,True,False
Apostle Islands National Lakeshore,apis,WI,National Lakeshore,46.96240467,-90.66045665,29,35,0,392,True,True,True,False,True
Appalachian National Scenic Trail,appa,"CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV",National Scenic Trail,40.41029575,-76.4337548,18,20,0,399,True,False,True,False,False
Appomattox Court House National Historical Park,apco,VA,National Historical Park,37.38022164,-78.79856982,19,28,0,280,False,False,True,False,False
Arches National Park,arch,UT,National Park,38.72261844,-109.5863666,18,11,3,332,True,False,False,True,False
Arkansas Post National Memorial,arpo,AR,National Memorial,34.00389998,-91.30837178,25,40,0,203,False,True,True,False,True
"Arlington House, The Robert E. Lee Memorial",arho,VA,,38.8822021484,-77.0734786987,3,14,0,383,False,False,False,False,False
Assateague Island National Seashore,asis,"MD,VA",National Seashore,38.05593172,-75.24524611,41,11,3,294,True,True,True,True,False
Aztec Ruins National Monument,azru,NM,National Monument,36.83682216,-107.9999245,11,19,0,395,False,False,False,False,False
Badlands National Park,badl,SD,National Park,43.68584846,-102.482942,21,36,7,342,True,False,True,True,False
Baltimore-Washington Parkway,bawa,MD,Parkway,39.02604289,-76.85410921,2,2,0,138,False,False,False,False,False
Bandelier National Monument,band,NM,National Monument,35.77898596,-106.3317124,28,23,3,280,True,False,True,False,False
Belmont-Paul Women's Equality National Monument,bepa,DC,National Monument,38.89231541,-77.00381882,7,22,0,395,False,False,False,False,False
Bent's Old Fort National Historic Site,beol,CO,National Historic Site,38.03977546,-103.4266499,17,20,0,399,False,False,True,True,False
Bering Land Bridge National Preserve,bela,AK,National Preserve,65.96087902,-164.4086432,13,4,0,365,True,False,True,False,False
Big Bend National Park,bibe,TX,National Park,29.29817767,-103.2297897,24,32,7,397,True,False,True,True,False
Big Cypress National Preserve,bicy,FL,National Preserve,25.97079602,-81.08120629,34,25,0,383,True,False,True,True,True
Big Hole National Battlefield,biho,MT,National Battlefield,45.64647324,-113.6458443,21,15,0,279,False,True,True,False,False
Big South Fork National River & Recreation Area,biso,"KY,TN",National River & Recreation Area,36.5348388,-84.66506688,31,18,0,390,True,True,True,True,True
Big Thicket National Preserve,bith,TX,National Preserve,30.457983431,-94.386742115,24,21,0,392,True,True,True,True,True
Bighorn Canyon National Recreation Area,bica,"MT,WY",National Recreation Area,45.13154227,-108.1443943,48,62,0,353,True,True,True,True,True
Birmingham Civil Rights National Monument,bicr,AL,National Monument,33.5154266357,-86.814666748,3,13,0,365,False,False,False,False,False
Biscayne National Park,bisc,FL,National Park,25.490587,-80.21023851,24,23,0,399,True,True,True,False,True
Black Canyon Of The Gunnison National Park,blca,CO,National Park,38.57779869,-107.7242756,26,18,9,319,True,True,True,False,False
Blackstone River Valley National Historical Park,blrv,"RI,MA",National Historical Park,41.8775792792,-71.382433945,13,26,0,392,False,True,True,True,False
Blackwell School National Historic Site,blsc,TX,National Historic Site,30.3057966497568,-104.022553112857,0,5,0,385,False,False,False,False,False
Blue Ridge Parkway,blri,"NC,VA",Parkway,35.5657195274,-82.486484587,19,18,0,395,True,True,True,True,False
Bluestone National Scenic River,blue,WV,National Scenic River,37.56577087,-80.98366657,15,11,0,387,False,True,True,True,True
Booker T Washington National Monument,bowa,VA,National Monument,37.11520539,-79.73185833,14,12,0,357,False,False,False,False,False
Boston African American National Historic Site,boaf,MA,National Historic Site,42.35908295,-71.06764181,4,13,0,358,False,False,False,False,False
Boston Harbor Islands National Recreation Area,boha,MA,National Recreation Area,42.30905526,-70.93941138,20,44,0,390,True,True,True,False,True
Boston National Historical Park,bost,MA,National Historical Park,42.36957407,-71.05536763,5,17,0,175,False,True,False,False,False
Brices Cross Roads National Battlefield Site,brcr,MS,National Battlefield Site,34.50611958,-88.72889343,3,6,0,185,False,False,False,False,False
Brown v. Board of Education National Historical Park,brvb,KS,National Historical Park,39.03787665,-95.67614437,4,6,0,394,False,False,False,False,False
Bryce Canyon National Park,brca,UT,National Park,37.58399144,-112.1826689,30,20,8,319,True,False,True,True,False
